sn,item_id,link,product_name,category,designer,price,old_price,sellable_online,other_colors,short_description,dimension,depth,height,width
1,121766,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-00121766/,INGOLF,Bar furniture,Carina Bengs,395,No old price,TRUE,No,Bar stool with backrest,74 cm,45,102,40
2,272656,https://www.ikea.com/sa/en/p/bernhard-bar-stool-with-backrest-chrome-plated-mjuk-kavat-white-00272656/,BERNHARD,Bar furniture,Ola Wihlborg,745,No old price,TRUE,No,Bar stool with backrest,66 cm,50,90,48
3,340759,https://www.ikea.com/sa/en/p/ekedalen-bar-table-white-00340759/,EKEDALEN,Bar furniture,Ehlén Johansson,995,No old price,TRUE,No,Bar table,120x80 cm,,105,80
4,368814,https://www.ikea.com/sa/en/p/nordviken-bar-table-black-00368814/,NORDVIKEN,Bar furniture,Francis Cayouette,995,No old price,FALSE,No,Bar table,140x80 cm,,105,80
5,397736,https://www.ikea.com/sa/en/p/norraryd-bar-stool-with-backrest-black-00397736/,NORRARYD,Bar furniture,Nike Karlsson,395,No old price,TRUE,No,Bar stool with backrest,74 cm,47,103,46
6,400545,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-white-orrsta-light-grey-00400545/,EKEDALEN,Bar furniture,Ehlén Johansson,345,No old price,TRUE,No,Bar stool with backrest,75 cm,51,114,43
7,400550,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-brown-orrsta-light-grey-00400550/,EKEDALEN,Bar furniture,Ehlén Johansson,345,No old price,TRUE,No,Bar stool with backrest,75 cm,52,114,43
8,9288224,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s09288224/,STENSELE,Bar furniture,Maja Ganszyniec,550,No old price,TRUE,No,Bar table,70 cm,,105,
9,9333523,https://www.ikea.com/sa/en/p/nordviken-nordviken-bar-table-and-4-bar-stools-black-black-s09333523/,NORDVIKEN / NORDVIKEN,Bar furniture,Francis Cayouette,2095,No old price,FALSE,No,Bar table and 4 bar stools,NA,,,
10,10122647,https://www.ikea.com/sa/en/p/ingolf-bar-stool-with-backrest-white-10122647/,INGOLF,Bar furniture,Carina Bengs,345,No old price,TRUE,No,Bar stool with backrest,63 cm,45,91,40
11,10281354,https://www.ikea.com/sa/en/p/janinge-bar-stool-grey-10281354/,JANINGE,Bar furniture,John/Jonas/Petrus/Paul/Caroline,595,No old price,TRUE,No,Bar stool,76 cm,36,84,38
12,10400540,https://www.ikea.com/sa/en/p/ekedalen-bar-stool-with-backrest-dark-brown-orrsta-light-grey-10400540/,EKEDALEN,Bar furniture,Ehlén Johansson,345,No old price,TRUE,No,Bar stool with backrest,75 cm,52,114,43
13,19297275,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-birch-s19297275/,NORRÅKER / NORRÅKER,Bar furniture,J Karlsson/N Karlsson,1266,"SR 1,385",TRUE,No,Bar table and 2 bar stools,74 cm,,,
14,20336619,https://www.ikea.com/sa/en/p/henriksdal-cover-for-bar-stool-with-backrest-graesbo-white-20336619/,HENRIKSDAL,Bar furniture,IKEA of Sweden,40,No old price,TRUE,No,Cover for bar stool with backrest,NA,,,
